/Users/yahavcorcos/Desktop/gauntlet-workspace/wordbridge-app/venv/lib/python3.14/site-packages/openai/_compat.py:48: UserWarning: Core Pydantic V1 functionality isn't compatible with Python 3.14 or greater.
  from pydantic.v1.typing import (
<frozen runpy>:128: RuntimeWarning: 'app.jobs.worker' found in sys.modules after import of package 'app.jobs', but prior to execution of 'app.jobs.worker'; this may result in unpredictable behaviour
2025-11-11 23:03:06,719 - __main__ - INFO - Starting WordBridge background worker...
2025-11-11 23:03:06,719 - __main__ - INFO - Database URL configured: postgresql://***@localhost:5432/wordbridge
2025-11-11 23:03:06,719 - __main__ - INFO - Initializing database...
2025-11-11 23:03:06,741 - __main__ - INFO - Database initialized successfully (using PostgreSQL)
2025-11-11 23:03:06,742 - __main__ - INFO - Database connection verified - found 3 upload(s) in database
2025-11-11 23:03:06,742 - __main__ - INFO - Worker will poll for upload jobs and process them asynchronously.
2025-11-11 23:03:06,742 - __main__ - INFO - Checking for stuck pending uploads on startup...
2025-11-11 23:04:10,289 - __main__ - INFO - Processing upload job 999...
/Users/yahavcorcos/Desktop/gauntlet-workspace/wordbridge-app/app/jobs/worker.py:253: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = now or datetime.datetime.utcnow()
2025-11-11 23:04:10,300 - __main__ - ERROR - Upload 999 not found. Checking database...
2025-11-11 23:04:10,300 - __main__ - ERROR - Upload 999 does not exist in database
2025-11-11 23:04:10,300 - __main__ - WARNING - Permanent failure processing upload 999: Upload 999 was not found.
2025-11-11 23:04:10,301 - __main__ - WARNING - Failed to process upload 999: Upload 999 was not found.
2025-11-11 23:06:02,342 - __main__ - INFO - Processing upload job 21...
2025-11-11 23:06:02,357 - __main__ - ERROR - Upload 21 not found. Checking database...
2025-11-11 23:06:02,357 - __main__ - ERROR - Upload 21 does not exist in database
2025-11-11 23:06:02,358 - __main__ - WARNING - Permanent failure processing upload 21: Upload 21 was not found.
2025-11-11 23:06:02,358 - __main__ - WARNING - Failed to process upload 21: Upload 21 was not found.
2025-11-11 23:32:45,065 - __main__ - INFO - Processing upload job 22...
2025-11-11 23:32:45,077 - __main__ - ERROR - Upload 22 not found. Checking database...
2025-11-11 23:32:45,077 - __main__ - ERROR - Upload 22 does not exist in database
2025-11-11 23:32:45,078 - __main__ - WARNING - Permanent failure processing upload 22: Upload 22 was not found.
2025-11-11 23:32:45,078 - __main__ - WARNING - Failed to process upload 22: Upload 22 was not found.
2025-11-11 23:44:55,708 - __main__ - INFO - Processing upload job 1001...
2025-11-11 23:44:55,718 - __main__ - ERROR - Upload 1001 not found. Checking database...
2025-11-11 23:44:55,718 - __main__ - ERROR - Upload 1001 does not exist in database
2025-11-11 23:44:55,719 - __main__ - WARNING - Permanent failure processing upload 1001: Upload 1001 was not found.
2025-11-11 23:44:55,719 - __main__ - WARNING - Failed to process upload 1001: Upload 1001 was not found.
2025-11-11 23:53:20,550 - __main__ - INFO - Processing upload job 27...
